FULL NAME,AGE,GENDER,JOB TITLE/ ROLE,JOB FUNCTION,EMPLOYEE SIZE WORKS IN YOUR COMPANY,REMOTE POLICY,Tenure at Company (Months),Prior Remote Experience (years),Household Situation,Home Workspace,Hours worked per week,Productivity change (1 to 5),Tasks completed per week,Deep work hours per day,Work quality (self-rated 1 to 5),Interruptions frequency (1 - 5),Synchronous meetings per week,Average meeting length (Minutes),Response time to colleagues,Collaboration tools used,I have felt cheerful and in good spirits. (1 - 5),I have felt calm and relaxed. (1 - 5),I have felt active and vigorous. (1 - 5),I woke up feeling fresh and rested. (1 - 5),My daily life has been filled with things that interest me. (1 - 5),I feel emotionally exhausted by my work. (1 - 5),I feel tired after the workday. (1 - 5),I feel worn out because of my job. (1 - 5),Work-life balance satisfaction. (1 - 5),Sleep hours per night,Social isolation level (1 - 5),Awareness of monitoring,Was monitoring policy explained?,Trust in employer's data handling (1 - 5),Privacy concern matrix   [App usage logs],Privacy concern matrix   [Calendar metadata],Privacy concern matrix   [Email metadata],Privacy concern matrix   [Email content],Privacy concern matrix   [Keystrokes],Privacy concern matrix   [Screenshots],Privacy concern matrix   [Webcam images],Privacy concern matrix   [Location data],Privacy concern matrix   [Biometrics],What privacy controls would increase your willingness to share data?,Well_being_Score,Productivity_Score,Burnout_Score,Privacy_Concern_Score,All_Text_Data,GENDER_Encoded,JOB FUNCTION_Encoded,EMPLOYEE SIZE WORKS IN YOUR COMPANY_Encoded,REMOTE POLICY_Encoded,Household Situation_Encoded
Sunav Bhardwaj,30,Male,IoT Engineer,Software Development,201-1000,Flexible/ Variable,55,5,Shared Accommodation,Shared Space(Kitchen/Living Room),51,4,5,4,4,5,9,83,<15 minutes,"asana,email",4,2,1,5,5,1,1,2,1,9,2,Yes,Don't Know,2,,,,,,,,,,,2.6,4.5,1.3333333333333333,,"IoT Engineer asana,email",1,5,2,0,1
Jasmit Lakhani,31,Female,Network Engineer,Operations,201-1000,Office- First,149,1,With Children,Desk In Shared Room,37,4,6,9,1,5,1,127,<15 minutes,"zoom,asana,notion,slack,google meet",4,1,1,2,3,5,2,1,1,9,2,Not Sure,Don't Know,4,,,,,,,,,,,1.8,5.0,2.6666666666666665,,"Network Engineer zoom,asana,notion,slack,google meet",0,2,2,3,2
Prmian Ram,27,Female,Software Developer / Engineer,Software Development,01-Oct,Office- First,24,1,Live Alone,Dedicated Room,41,1,4,7,4,1,7,63,1-4 hours,"slack,notion,google meet,jira",4,3,5,4,4,4,2,5,1,9,5,No,Yes,3,,,,,,,,,,,3.4,2.5,3.6666666666666665,,"Software Developer / Engineer slack,notion,google meet,jira",0,5,0,3,0
Kanat Duggar,26,Female,Cloud Engineer,Operations,01-Oct,Office- First,73,3,Shared Accommodation,Co-Working Space,37,2,7,7,1,4,10,123,<15 minutes,"google meet,email",4,4,1,3,5,2,3,5,2,7,5,No,No,3,,,,,,,,,,,2.8,4.5,3.3333333333333335,,"Cloud Engineer google meet,email",0,2,0,3,1
Shvir Karmarkar,28,Female,Software Developer / Engineer,Software Development,201-1000,Fully Remote,145,3,With Children,Shared Space(Kitchen/Living Room),52,5,3,6,5,1,5,132,>24 hours,"google meet,slack",5,3,3,2,4,4,1,4,1,6,1,Yes,No,2,,,,,,,,,,,2.8,4.0,3.0,,"Software Developer / Engineer google meet,slack",0,5,2,1,2
Gamiaj Khandelwal,34,Male,Platform Engineer,Operations,Nov-50,Flexible/ Variable,38,3,Shared Accommodation,Dedicated Room,23,4,2,6,4,5,3,133,15-60 minutes,"zoom,slack",2,5,5,1,5,3,4,1,3,9,1,Not Sure,Don't Know,1,,,,,,,,,,,3.2,3.0,2.6666666666666665,,"Platform Engineer zoom,slack",1,2,5,0,1
Suniaj Sodha,29,Male,Product Owner,Product,Nov-50,Fully Remote,25,3,With Partner,Shared Space(Kitchen/Living Room),33,1,2,10,4,4,4,119,15-60 minutes,"zoom,asana,notion,MS teams",3,2,3,5,3,4,3,1,1,7,5,No,Don't Know,4,,,,,,,,,,,2.8,1.5,2.6666666666666665,,"Product Owner zoom,asana,notion,MS teams",1,3,5,1,3
Niyath Rao,30,Female,Software Developer / Engineer,Software Development,51-200,Flexible/ Variable,74,2,With Partner,Dedicated Room,42,4,7,7,5,2,12,89,>24 hours,"notion,asana,email,MS teams",5,2,4,1,2,5,1,4,3,8,2,No,Yes,2,,,,,,,,,,,3.0,5.5,3.3333333333333335,,"Software Developer / Engineer notion,asana,email,MS teams",0,5,4,0,3
Jaran Parekh,23,Male,UI/UX Designer,Design,Nov-50,Fully Remote,41,3,Shared Accommodation,Dedicated Room,35,3,3,10,4,3,10,107,1-4 hours,"jira,email,google meet,MS teams",4,2,1,2,4,3,1,3,2,6,2,No,Don't Know,1,,,,,,,,,,,2.2,3.0,2.3333333333333335,,"UI/UX Designer jira,email,google meet,MS teams",1,0,5,1,1
Ail Rungta,41,Female,Application Security Engineer,Software Development,1001-5000,Office- First,135,1,With Children,Dedicated Room,47,5,5,8,5,5,7,86,4-24 hours,"google meet,email,slack,zoom,MS teams",2,1,5,2,3,2,5,3,4,7,2,Not Sure,No,5,,,,,,,,,,,2.8,5.0,3.3333333333333335,,"Application Security Engineer google meet,email,slack,zoom,MS teams",0,5,1,3,2
Arkav Bhadriraju,35,Male,Network Administrator,Operations,51-200,Fully Remote,8,3,With Partner,Dedicated Room,49,2,2,7,3,2,7,144,<15 minutes,"slack,google meet,jira,asana",5,5,1,1,2,4,5,3,3,8,4,No,Don't Know,3,,,,,,,,,,,3.0,2.0,4.0,,"Network Administrator slack,google meet,jira,asana",1,2,4,1,3
Surbhi Dwived,28,Female,Security Manager,Software Development,Nov-50,Office- First,56,4,Live Alone,Co-Working Space,26,4,1,8,5,2,1,115,1-4 hours,"slack,google meet,asana,email,zoom",5,4,4,4,2,5,5,3,3,9,4,No,No,3,,,,,,,,,,,4.0,2.5,4.333333333333333,,"Security Manager slack,google meet,asana,email,zoom",0,5,5,3,0
Jateel Chowdhury,46,Male,Project Manager,Software Development,01-Oct,Hybrid,165,1,Live Alone,Co-Working Space,41,4,4,5,5,3,8,84,15-60 minutes,"notion,email",2,5,5,1,4,5,3,1,1,9,5,No,Don't Know,2,,,,,,,,,,,2.8,4.0,3.0,,"Project Manager notion,email",1,5,0,2,0
Arut Gurjar,28,Female,Data Scientist,Software Development,51-200,Hybrid,103,2,With Children,Shared Space(Kitchen/Living Room),28,1,7,7,1,3,1,74,15-60 minutes,"google meet,asana,notion,jira,zoom",4,1,1,4,3,5,3,1,2,9,2,Yes,Yes,4,,,,,,,,,,,2.4,4.0,3.0,,"Data Scientist google meet,asana,notion,jira,zoom",0,5,4,2,2
Ganiv Narayan,46,Male,Prompt Engineer,Software Development,Nov-50,Fully Remote,31,3,Shared Accommodation,Shared Space(Kitchen/Living Room),46,1,5,6,2,3,10,80,<15 minutes,"jira,zoom",3,1,4,3,2,5,4,5,2,9,1,No,Yes,4,,,,,,,,,,,2.6,3.0,4.666666666666667,,"Prompt Engineer jira,zoom",1,5,5,1,1
Hashar Pujari,45,Female,Robotics Engineer,Software Development,Nov-50,Hybrid,104,3,Shared Accommodation,Shared Space(Kitchen/Living Room),40,4,2,9,3,2,12,117,<15 minutes,"google meet,notion,asana,jira",4,3,4,1,5,2,4,1,5,6,4,Yes,Yes,2,,,,,,,,,,,3.4,3.0,2.3333333333333335,,"Robotics Engineer google meet,notion,asana,jira",0,5,5,2,1
Rishak Dhanuk,45,Male,Site Reliability Engineer (SRE),Operations,51-200,Fully Remote,10,5,Live Alone,Desk In Shared Room,20,1,4,6,1,1,3,147,15-60 minutes,"slack,asana,email,notion",1,5,4,5,3,3,4,4,3,7,3,No,No,3,,,,,,,,,,,3.6,2.5,3.6666666666666665,,"Site Reliability Engineer (SRE) slack,asana,email,notion",1,2,4,1,0
Kavian Bhalotia,24,Female,Embedded Systems Engineer,Operations,1001-5000,Office- First,97,2,With Partner,Shared Space(Kitchen/Living Room),32,5,2,6,1,2,11,141,<15 minutes,"zoom,MS teams,jira",2,1,5,3,2,1,1,2,4,8,3,Not Sure,Don't Know,4,,,,,,,,,,,3.0,3.5,1.3333333333333333,,"Embedded Systems Engineer zoom,MS teams,jira",0,2,1,3,3
Ranih Barot,33,Male,Storage Administrator,Operations,51-200,Hybrid,21,2,Shared Accommodation,Co-Working Space,38,3,7,10,4,3,8,90,15-60 minutes,"google meet,slack",3,1,5,1,3,1,1,2,3,6,2,Yes,No,1,,,,,,,,,,,2.6,5.0,1.3333333333333333,,"Storage Administrator google meet,slack",1,2,4,2,1
Lanam Choudhary,45,Male,SOC Analyst,Software Development,01-Oct,Hybrid,17,5,With Partner,Co-Working Space,31,4,3,5,3,4,2,70,1-4 hours,"google meet,notion,asana,slack,MS teams",1,5,5,5,2,5,2,2,4,8,1,Yes,No,4,,,,,,,,,,,4.0,3.5,3.0,,"SOC Analyst google meet,notion,asana,slack,MS teams",1,5,0,2,3
Janav Nagar,26,Female,Technical Architect,Software Development,1001-5000,Office- First,113,5,With Partner,Co-Working Space,31,5,3,7,5,5,8,122,>24 hours,"notion,MS teams,jira",5,3,4,3,2,2,1,3,3,9,3,Not Sure,Don't Know,5,,,,,,,,,,,3.6,4.0,2.0,,"Technical Architect notion,MS teams,jira",0,5,1,3,3
Rayam Mundra,34,Female,Automation Test Engineer,Software Development,01-Oct,Fully Remote,163,5,With Partner,Desk In Shared Room,39,1,7,6,2,1,7,74,4-24 hours,"notion,asana,google meet",5,2,3,3,2,1,3,3,2,6,4,Yes,Don't Know,5,,,,,,,,,,,3.0,4.0,2.3333333333333335,,"Automation Test Engineer notion,asana,google meet",0,5,0,1,3
Savit Sarvaiya,40,Female,Back-End Developer,Software Development,Nov-50,Fully Remote,138,4,With Partner,Co-Working Space,45,3,5,4,2,4,3,61,15-60 minutes,"email,asana",4,1,3,5,1,2,1,3,5,9,5,No,Don't Know,5,,,,,,,,,,,3.6,4.0,2.0,,"Back-End Developer email,asana",0,5,5,1,3
Devvrat Tripathi,28,Male,Business Analyst,Software Development,51-200,Office- First,157,3,Shared Accommodation,Desk In Shared Room,22,3,6,7,1,4,10,133,>24 hours,"MS teams,google meet,jira,asana,zoom",2,2,1,3,1,5,4,5,2,7,3,No,Don't Know,2,,,,,,,,,,,2.0,4.5,4.666666666666667,,"Business Analyst MS teams,google meet,jira,asana,zoom",1,5,4,3,1
Jankhana Shukla,36,Female,Data Engineer,Software Development,1001-5000,Flexible/ Variable,70,5,Live Alone,Dedicated Room,24,4,7,5,5,3,6,96,>24 hours,"jira,asana,slack,google meet",3,2,2,2,2,1,2,3,5,8,1,Yes,Yes,1,,,,,,,,,,,2.8,5.5,2.0,,"Data Engineer jira,asana,slack,google meet",0,5,1,0,0
Janan Raju,34,Male,System Administrator,Operations,5001+,Hybrid,26,4,Shared Accommodation,Shared Space(Kitchen/Living Room),45,3,3,10,1,5,12,128,1-4 hours,"notion,email,asana",5,1,4,4,1,3,1,3,5,8,5,Yes,Yes,2,,,,,,,,,,,3.8,3.0,2.3333333333333335,,"System Administrator notion,email,asana",1,2,3,2,1
Dekar Sharma,33,Male,Data Scientist,Software Development,51-200,Office- First,80,1,With Partner,Desk In Shared Room,22,4,1,9,1,2,6,90,<15 minutes,"email,google meet,asana,jira",4,4,3,4,3,5,4,2,2,8,4,No,No,5,,,,,,,,,,,3.4,2.5,3.6666666666666665,,"Data Scientist email,google meet,asana,jira",1,5,4,3,3
Arsian Saboo,48,Female,Data Governance Specialist,Software Development,1001-5000,Office- First,159,4,Shared Accommodation,Desk In Shared Room,29,4,2,7,5,3,6,144,<15 minutes,"email,asana",4,3,2,2,3,2,1,4,2,7,3,Yes,No,3,,,,,,,,,,,2.6,3.0,2.3333333333333335,,"Data Governance Specialist email,asana",0,5,1,3,1
Krnar Jatav,25,Male,Engineering Manager,Software Development,5001+,Office- First,72,3,With Partner,Co-Working Space,26,5,6,10,2,3,9,95,1-4 hours,"notion,jira,google meet,zoom",1,1,3,4,1,1,5,5,2,7,3,Yes,Don't Know,5,,,,,,,,,,,2.2,5.5,3.6666666666666665,,"Engineering Manager notion,jira,google meet,zoom",1,5,3,3,3
Laeh Jadeja,33,Female,Cloud FinOps Analyst,Operations,01-Oct,Office- First,136,5,With Partner,Desk In Shared Room,28,3,3,9,5,5,2,64,15-60 minutes,"slack,zoom",3,3,3,5,5,5,5,4,3,6,4,No,Don't Know,5,,,,,,,,,,,3.4,3.0,4.666666666666667,,"Cloud FinOps Analyst slack,zoom",0,2,0,3,3
Maoan Tripathi / Tripathy,49,Female,DevOps Engineer,Operations,01-Oct,Office- First,94,4,With Partner,Dedicated Room,33,2,1,6,1,5,1,107,>24 hours,"MS teams,zoom,notion",5,2,3,3,5,5,4,4,4,9,5,No,Don't Know,4,,,,,,,,,,,3.4,1.5,4.333333333333333,,"DevOps Engineer MS teams,zoom,notion",0,2,0,3,3
Laviya Jindal,27,Female,HR Manager,HR,01-Oct,Office- First,6,4,With Children,Dedicated Room,28,2,2,5,5,3,2,135,<15 minutes,"MS teams,slack,email,asana",3,3,3,4,1,4,5,3,5,6,4,Yes,No,2,,,,,,,,,,,3.6,2.0,4.0,,"HR Manager MS teams,slack,email,asana",0,1,0,3,2
Kriv Mishra,37,Female,Employer Branding Specialist,HR,201-1000,Flexible/ Variable,85,3,With Children,Dedicated Room,30,4,5,4,4,3,1,148,1-4 hours,"email,MS teams,asana,zoom",4,2,1,1,5,2,3,5,3,8,4,No,Don't Know,1,,,,,,,,,,,2.2,4.5,3.3333333333333335,,"Employer Branding Specialist email,MS teams,asana,zoom",0,1,2,0,2
Gayak Ramakrishnan,38,Female,CTO (Chief Technology Officer),Software Development,5001+,Hybrid,4,3,Shared Accommodation,Desk In Shared Room,49,2,7,8,5,2,4,139,<15 minutes,"asana,slack,notion,email,google meet",1,1,2,1,5,3,4,5,3,7,5,Not Sure,No,4,,,,,,,,,,,1.6,4.5,4.0,,"CTO (Chief Technology Officer) asana,slack,notion,email,google meet",0,5,3,2,1
Aryah Zala,36,Male,CTO (Chief Technology Officer),Software Development,01-Oct,Office- First,52,1,With Children,Co-Working Space,24,4,1,8,2,1,7,119,4-24 hours,"email,asana,slack",1,3,1,5,4,1,1,2,1,6,1,Yes,Yes,3,,,,,,,,,,,2.2,2.5,1.3333333333333333,,"CTO (Chief Technology Officer) email,asana,slack",1,5,0,3,2
Prniv Chauhan,39,Male,Site Reliability Engineer (SRE),Operations,1001-5000,Flexible/ Variable,120,5,Live Alone,Dedicated Room,30,2,5,4,5,4,4,85,>24 hours,"email,notion,slack",4,4,3,5,4,3,1,5,3,9,1,Not Sure,Don't Know,2,,,,,,,,,,,3.8,3.5,3.0,,"Site Reliability Engineer (SRE) email,notion,slack",1,2,1,0,0
Masham Sengar,42,Female,Technical Account Manager,Sales,Nov-50,Office- First,50,2,With Partner,Shared Space(Kitchen/Living Room),52,3,1,8,1,1,12,86,>24 hours,"jira,asana,zoom",3,3,4,5,5,5,3,5,3,8,2,Yes,Yes,4,,,,,,,,,,,3.6,2.0,4.333333333333333,,"Technical Account Manager jira,asana,zoom",0,4,5,3,3
Arar Vaidya,49,Female,Cloud Administrator,Operations,5001+,Hybrid,119,1,With Children,Dedicated Room,28,5,6,9,1,2,6,131,>24 hours,"MS teams,slack,notion",1,3,4,5,4,1,2,3,2,7,3,Not Sure,Don't Know,2,,,,,,,,,,,3.0,5.5,2.0,,"Cloud Administrator MS teams,slack,notion",0,2,3,2,2
Sueh Kapoor,31,Male,AI Engineer,Software Development,5001+,Office- First,33,4,With Partner,Dedicated Room,35,2,3,7,1,4,7,131,15-60 minutes,"slack,zoom,jira",5,4,4,4,4,3,1,4,5,6,3,Yes,No,5,,,,,,,,,,,4.4,2.5,2.6666666666666665,,"AI Engineer slack,zoom,jira",1,5,3,3,3
Dhtan Bhutoria,44,Female,Agile Coach,Software Development,5001+,Office- First,150,2,Shared Accommodation,Shared Space(Kitchen/Living Room),24,4,6,4,2,3,1,70,>24 hours,"google meet,jira,email",2,4,4,5,2,5,5,5,1,7,5,No,Yes,1,,,,,,,,,,,3.2,5.0,5.0,,"Agile Coach google meet,jira,email",0,5,3,3,1
Atah Shukla,32,Male,IoT Engineer,Software Development,Nov-50,Hybrid,71,3,With Partner,Desk In Shared Room,50,3,1,8,3,3,3,89,<15 minutes,"slack,email,zoom,MS teams,asana",3,1,1,5,3,1,2,1,1,9,1,No,Don't Know,2,,,,,,,,,,,2.2,2.0,1.3333333333333333,,"IoT Engineer slack,email,zoom,MS teams,asana",1,5,5,2,3
Karaaj Mukherjee,26,Male,UI/UX Researcher,Design,51-200,Fully Remote,38,2,Live Alone,Desk In Shared Room,39,5,2,7,5,2,3,68,<15 minutes,"zoom,asana,MS teams,slack,notion",1,2,4,3,2,1,2,5,4,7,4,Yes,Don't Know,3,,,,,,,,,,,2.8,3.5,2.6666666666666665,,"UI/UX Researcher zoom,asana,MS teams,slack,notion",1,0,4,1,0
Detat Parmar,41,Male,Threat Intelligence Analyst,HR,51-200,Flexible/ Variable,78,5,With Partner,Dedicated Room,38,5,7,10,4,2,8,111,<15 minutes,"asana,notion,email,MS teams,slack",2,1,2,1,5,2,5,4,2,8,5,Not Sure,No,2,,,,,,,,,,,1.6,6.0,3.6666666666666665,,"Threat Intelligence Analyst asana,notion,email,MS teams,slack",1,1,4,0,3
Shraaj Sinha,45,Female,Talent Acquisition Specialist,HR,Nov-50,Fully Remote,164,3,Live Alone,Dedicated Room,32,2,3,8,5,4,8,91,>24 hours,"zoom,email,google meet,jira",4,3,2,5,2,3,5,1,1,6,5,Not Sure,No,2,,,,,,,,,,,3.0,2.5,3.0,,"Talent Acquisition Specialist zoom,email,google meet,jira",0,1,5,1,0
Rakam Dhanuk,45,Female,Data Architect,Software Development,5001+,Flexible/ Variable,158,4,With Children,Desk In Shared Room,20,5,3,10,1,1,11,126,1-4 hours,"MS teams,slack",5,2,2,2,3,1,5,2,1,8,1,Yes,Don't Know,2,,,,,,,,,,,2.4,4.0,2.6666666666666665,,"Data Architect MS teams,slack",0,5,3,0,2
Rioth Chandak,24,Female,UI/UX Researcher,Design,51-200,Flexible/ Variable,86,3,Live Alone,Dedicated Room,47,4,3,9,2,4,8,62,15-60 minutes,"email,notion,MS teams,google meet,jira",2,5,5,3,1,3,2,5,2,7,4,No,No,1,,,,,,,,,,,3.4,3.5,3.3333333333333335,,"UI/UX Researcher email,notion,MS teams,google meet,jira",0,0,4,0,0
Dhmiesh Sodha,44,Female,Business Intelligence (BI) Analyst,Software Development,1001-5000,Fully Remote,117,4,With Partner,Desk In Shared Room,51,5,5,8,4,5,2,150,1-4 hours,"slack,google meet",4,1,1,4,3,2,2,5,3,9,2,Not Sure,No,2,,,,,,,,,,,2.6,5.0,3.0,,"Business Intelligence (BI) Analyst slack,google meet",0,5,1,1,3
Jayam Iyer,34,Male,Application Security Engineer,Software Development,1001-5000,Flexible/ Variable,158,4,Shared Accommodation,Desk In Shared Room,39,1,5,7,4,4,9,145,<15 minutes,"asana,zoom,email,google meet,notion",5,5,3,2,1,3,3,3,2,9,2,No,Don't Know,5,,,,,,,,,,,3.4,3.0,3.0,,"Application Security Engineer asana,zoom,email,google meet,notion",1,5,1,0,1
Sumiv Chavda,35,Female,VP of Human Resources,HR,Nov-50,Flexible/ Variable,77,3,With Children,Desk In Shared Room,48,5,2,4,3,3,2,114,4-24 hours,"email,zoom,google meet,notion",2,2,2,1,3,5,4,5,5,7,3,No,Yes,3,,,,,,,,,,,2.4,3.5,4.666666666666667,,"VP of Human Resources email,zoom,google meet,notion",0,1,5,0,2
Prmiesh Advani,27,Male,Automation Test Engineer,Software Development,Nov-50,Hybrid,89,1,Live Alone,Shared Space(Kitchen/Living Room),51,3,4,4,5,4,8,131,15-60 minutes,"jira,email",4,4,3,2,4,1,4,4,5,8,1,Not Sure,Don't Know,1,,,,,,,,,,,3.6,3.5,3.0,,"Automation Test Engineer jira,email",1,5,5,2,0
Armiaj Rayal,30,Male,Data Governance Specialist,Software Development,Nov-50,Hybrid,144,4,With Partner,Dedicated Room,21,5,4,5,2,2,6,108,1-4 hours,"MS teams,email",2,5,5,4,2,2,2,3,1,6,2,Yes,Yes,1,,,,,,,,,,,3.4,4.5,2.3333333333333335,,"Data Governance Specialist MS teams,email",1,5,5,2,3
Tarat Kurian,48,Male,Identity & Access Management (IAM) Specialist,Software Development,1001-5000,Fully Remote,143,4,With Partner,Co-Working Space,24,2,3,7,2,2,3,60,>24 hours,"google meet,jira,asana,notion",3,2,3,2,5,3,1,4,2,8,3,Not Sure,Yes,1,,,,,,,,,,,2.4,2.5,2.6666666666666665,,"Identity & Access Management (IAM) Specialist google meet,jira,asana,notion",1,5,1,1,3
Niharika Dash,40,Female,Talent Acquisition Manager,HR,51-200,Flexible/ Variable,99,3,With Children,Desk In Shared Room,41,5,2,4,1,2,9,69,1-4 hours,"notion,zoom",5,4,4,3,3,2,4,1,3,6,4,No,Yes,3,,,,,,,,,,,3.8,3.5,2.3333333333333335,,"Talent Acquisition Manager notion,zoom",0,1,4,0,2
Viruan Gupta,25,Male,Data Analyst,Software Development,201-1000,Hybrid,73,2,With Children,Shared Space(Kitchen/Living Room),28,3,7,4,4,4,6,99,>24 hours,"notion,asana,zoom",5,5,3,3,5,5,1,2,3,9,5,No,Yes,1,,,,,,,,,,,3.8,5.0,2.6666666666666665,,"Data Analyst notion,asana,zoom",1,5,2,2,2
Rikaesh Suri,48,Male,CIO (Chief Information Officer),Software Development,Nov-50,Fully Remote,137,3,Shared Accommodation,Shared Space(Kitchen/Living Room),36,2,1,5,4,5,5,132,4-24 hours,"google meet,notion,jira,slack",2,1,1,3,5,2,1,5,2,6,2,Not Sure,No,3,,,,,,,,,,,1.8,1.5,2.6666666666666665,,"CIO (Chief Information Officer) google meet,notion,jira,slack",1,5,5,1,1
Jaiesh Handique,39,Male,Business Intelligence (BI) Analyst,Software Development,201-1000,Fully Remote,135,4,Live Alone,Dedicated Room,30,2,2,6,5,2,6,130,4-24 hours,"jira,notion,MS teams,asana",3,4,2,3,1,1,2,2,3,6,3,Yes,No,1,,,,,,,,,,,3.0,2.0,1.6666666666666667,,"Business Intelligence (BI) Analyst jira,notion,MS teams,asana",1,5,2,1,0
Ashar Ahirwar,49,Female,Network Engineer,Operations,201-1000,Hybrid,56,4,Live Alone,Dedicated Room,46,5,7,9,1,3,7,144,>24 hours,"notion,MS teams,email",4,5,4,2,1,4,4,5,4,7,2,Not Sure,No,2,,,,,,,,,,,3.8,6.0,4.333333333333333,,"Network Engineer notion,MS teams,email",0,2,2,2,0
Tanir Bhandari,35,Male,Tech Lead,Software Development,1001-5000,Flexible/ Variable,110,3,Shared Accommodation,Dedicated Room,33,4,3,5,3,1,10,102,1-4 hours,"zoom,google meet,jira,notion,MS teams",5,4,3,3,5,3,4,3,1,8,3,No,Don't Know,3,,,,,,,,,,,3.2,3.5,3.3333333333333335,,"Tech Lead zoom,google meet,jira,notion,MS teams",1,5,1,0,1
Gasim Krishnan,40,Male,Cloud FinOps Analyst,Operations,1001-5000,Flexible/ Variable,165,3,With Partner,Co-Working Space,36,5,7,6,5,3,3,99,1-4 hours,"email,notion",4,5,2,5,3,3,4,4,5,8,2,Not Sure,Yes,4,,,,,,,,,,,4.2,6.0,3.6666666666666665,,"Cloud FinOps Analyst email,notion",1,2,1,0,3
Shir Satnami,24,Male,UI/UX Researcher,Design,1001-5000,Hybrid,158,3,With Partner,Desk In Shared Room,30,2,3,6,3,2,9,100,15-60 minutes,"asana,jira,google meet,MS teams",4,4,4,5,4,1,5,2,4,9,5,Not Sure,No,3,,,,,,,,,,,4.2,2.5,2.6666666666666665,,"UI/UX Researcher asana,jira,google meet,MS teams",1,0,1,2,3
Ganiya Mehta,29,Male,UI/UX Researcher,Design,01-Oct,Hybrid,120,1,With Partner,Shared Space(Kitchen/Living Room),31,1,3,9,4,2,2,139,>24 hours,"slack,zoom,notion,google meet",2,2,3,1,5,4,5,1,5,9,3,No,No,4,,,,,,,,,,,2.6,2.0,3.3333333333333335,,"UI/UX Researcher slack,zoom,notion,google meet",1,0,0,2,3
Sakaan Netam,48,Male,Pre-Sales Engineer,Sales,51-200,Fully Remote,25,5,With Children,Co-Working Space,51,5,3,9,5,4,1,71,>24 hours,"jira,slack",4,5,1,1,1,5,4,1,2,8,3,Not Sure,Yes,2,,,,,,,,,,,2.6,4.0,3.3333333333333335,,"Pre-Sales Engineer jira,slack",1,4,4,1,2
Aryav Iyengar,43,Male,UI/UX Researcher,Design,01-Oct,Office- First,105,1,With Children,Shared Space(Kitchen/Living Room),42,1,3,5,2,5,11,143,15-60 minutes,"email,MS teams,asana,zoom,jira",4,1,3,1,2,1,3,5,1,7,2,Not Sure,Yes,5,,,,,,,,,,,2.0,2.0,3.0,,"UI/UX Researcher email,MS teams,asana,zoom,jira",1,0,0,3,2
Kashat Mukhopadhyay,29,Male,Recruitment Operations Analyst,HR,1001-5000,Hybrid,106,5,Shared Accommodation,Co-Working Space,26,3,1,9,2,3,9,84,>24 hours,"zoom,email,asana,jira,slack",4,4,5,5,2,3,2,4,3,9,1,Yes,Don't Know,4,,,,,,,,,,,4.2,2.0,3.0,,"Recruitment Operations Analyst zoom,email,asana,jira,slack",1,1,1,2,1
Arkak Sen,43,Female,Release Engineer,Software Development,01-Oct,Hybrid,48,2,Shared Accommodation,Co-Working Space,37,1,5,10,5,1,7,129,1-4 hours,"email,MS teams,google meet",3,5,4,5,4,3,5,1,2,8,1,No,Yes,4,,,,,,,,,,,3.8,3.0,3.0,,"Release Engineer email,MS teams,google meet",0,5,0,2,1
Vimih Makwana,37,Male,Infrastructure as Code (IaC) Specialist,Operations,5001+,Office- First,137,4,Shared Accommodation,Co-Working Space,38,2,7,8,4,5,12,95,1-4 hours,"asana,zoom,google meet,jira,notion",3,5,3,4,4,4,5,5,3,6,5,Yes,Don't Know,3,,,,,,,,,,,3.6,4.5,4.666666666666667,,"Infrastructure as Code (IaC) Specialist asana,zoom,google meet,jira,notion",1,2,3,3,1
Sayaesh Bhadauria,39,Female,Release Engineer,Software Development,1001-5000,Fully Remote,3,4,With Partner,Co-Working Space,41,5,7,4,5,5,4,99,4-24 hours,"zoom,notion",2,3,5,1,3,5,1,1,1,6,5,No,Don't Know,1,,,,,,,,,,,2.4,6.0,2.3333333333333335,,"Release Engineer zoom,notion",0,5,1,1,3
Marath Jha,46,Female,Product Marketing Manager,Product,201-1000,Office- First,103,4,With Partner,Shared Space(Kitchen/Living Room),31,5,3,5,4,3,7,66,<15 minutes,"MS teams,asana,zoom",4,3,3,5,1,4,5,2,3,9,4,Not Sure,Yes,1,,,,,,,,,,,3.6,4.0,3.6666666666666665,,"Product Marketing Manager MS teams,asana,zoom",0,3,2,3,3
Nirut Sharma,36,Female,Penetration Tester / Ethical Hacker,Software Development,5001+,Fully Remote,144,4,Live Alone,Desk In Shared Room,31,3,4,7,5,1,1,136,15-60 minutes,"jira,email",2,3,1,1,5,4,1,3,2,6,3,Not Sure,Don't Know,4,,,,,,,,,,,1.8,3.5,2.6666666666666665,,"Penetration Tester / Ethical Hacker jira,email",0,5,3,1,0
Karanprit Iyer,31,Male,Systems Engineer,Operations,1001-5000,Flexible/ Variable,89,1,With Partner,Dedicated Room,24,1,4,6,3,5,9,79,<15 minutes,"asana,jira",1,3,1,4,5,1,1,4,3,6,1,Not Sure,Yes,5,,,,,,,,,,,2.4,2.5,2.0,,"Systems Engineer asana,jira",1,2,1,0,3
